Week,Simulation,U,Stock,Production rate,Cost,Demand
1,1,30,60,120,1800,121
2,1,30,77,110,5310,93
3,1,30,49,110,1470,138
4,1,30,51,110,1530,108
5,1,30,44,110,1320,117
6,1,30,55,110,1650,99
7,1,30,32,110,960,133
8,1,30,27,110,810,115
9,1,30,39,130,4170,118
10,1,30,63,110,4890,86
11,1,30,62,110,1860,111
12,1,30,73,110,2190,99
13,1,30,46,110,1380,137
14,1,30,43,110,1290,113
15,1,30,23,110,690,130
16,1,30,16,130,3480,137
17,1,30,30,130,900,116
18,1,30,31,130,930,129
19,1,30,1,110,3030,140
20,1,30,15,130,3450,116
21,1,30,43,130,1290,102
22,1,30,36,110,4080,117
23,1,30,27,110,810,119
24,1,30,42,130,4260,115
25,1,30,37,110,4110,115
26,1,30,32,110,960,115
27,1,30,7,110,210,135
28,1,30,0,130,3000,148
29,1,30,6,130,180,124
30,1,30,33,130,990,103
31,1,30,24,110,3720,119
32,1,30,18,130,3540,136
33,1,30,47,130,1410,101
34,1,30,17,110,3510,140
35,1,30,63,130,4890,84
36,1,30,71,110,5130,102
37,1,30,56,110,1680,125
38,1,30,48,110,1440,118
39,1,30,39,110,1170,119
40,1,30,11,110,330,138
41,1,30,34,130,4020,107
42,1,30,10,110,3300,134
43,1,30,26,130,3780,114
44,1,30,45,130,1350,111
45,1,30,23,110,3690,132
46,1,30,27,130,3810,126
47,1,30,38,130,1140,119
48,1,30,48,110,4440,100
49,1,30,60,110,1800,98
50,1,30,17,110,510,153
51,1,30,11,130,3330,136
52,1,30,15,130,450,126
1,2,30,60,120,4800,102
2,2,30,45,110,4350,125
3,2,30,24,110,720,131
4,2,30,33,130,3990,121
5,2,30,9,110,3270,134
6,2,30,0,130,3000,140
7,2,30,30,130,900,100
8,2,30,57,130,1710,103
9,2,30,55,110,4650,112
10,2,30,49,110,1470,116
11,2,30,43,110,1290,116
12,2,30,2,110,60,151
13,2,30,28,130,3840,104
14,2,30,21,130,630,137
15,2,30,52,130,1560,99
16,2,30,0,110,3000,166
17,2,30,4,130,3120,126
18,2,30,44,130,1320,90
19,2,30,52,110,4560,102
20,2,30,42,110,1260,120
21,2,30,38,110,1140,114
22,2,30,21,110,630,127
23,2,30,23,130,3690,128
24,2,30,12,130,360,141
25,2,30,10,130,300,132
26,2,30,14,130,420,126
27,2,30,0,130,0,152
28,2,30,24,130,720,106
29,2,30,28,130,840,126
30,2,30,15,130,450,143
31,2,30,35,130,1050,110
32,2,30,23,110,3690,122
33,2,30,56,130,4680,97
34,2,30,45,110,4350,121
35,2,30,24,110,720,131
36,2,30,42,130,4260,112
37,2,30,48,110,4440,104
38,2,30,20,110,600,138
39,2,30,50,130,4500,100
40,2,30,60,110,4800,100
41,2,30,46,110,1380,124
42,2,30,39,110,1170,117
43,2,30,28,110,840,121
44,2,30,45,130,4350,113
45,2,30,34,110,4020,121
46,2,30,0,110,0,155
47,2,30,4,130,3120,126
48,2,30,0,130,0,148
49,2,30,0,130,0,132
50,2,30,15,130,450,115
51,2,30,3,130,90,142
52,2,30,21,130,630,112
1,3,30,60,120,4800,132
2,3,30,60,110,4800,110
3,3,30,49,110,1470,121
4,3,30,25,110,750,134
5,3,30,2,130,3060,153
6,3,30,17,130,510,115
7,3,30,45,130,1350,102
8,3,30,49,110,4470,106
9,3,30,6,110,180,153
10,3,30,23,130,3690,113
11,3,30,38,130,1140,115
12,3,30,8,110,3240,140
13,3,30,37,130,4110,101
14,3,30,36,110,4080,111
15,3,30,15,110,450,131
16,3,30,37,130,4110,108
17,3,30,24,110,3720,123
18,3,30,39,130,4170,115
19,3,30,10,110,3300,139
20,3,30,0,130,3000,141
21,3,30,0,130,0,148
22,3,30,0,130,0,130
23,3,30,37,130,1110,93
24,3,30,8,110,3240,139
25,3,30,21,130,3630,117
26,3,30,19,130,570,132
27,3,30,42,130,1260,107
28,3,30,14,110,3420,138
29,3,30,0,130,3000,146
30,3,30,29,130,870,101
31,3,30,53,130,1590,106
32,3,30,31,110,3930,132
33,3,30,6,110,180,135
34,3,30,14,130,3420,122
35,3,30,46,130,1380,98
36,3,30,51,110,4530,105
37,3,30,55,110,1650,106
38,3,30,40,110,1200,125
39,3,30,30,110,900,120
40,3,30,33,110,990,107
41,3,30,2,110,60,141
42,3,30,40,130,4200,92
43,3,30,18,110,3540,132
44,3,30,25,130,3750,123
45,3,30,35,130,1050,120
46,3,30,25,110,3750,120
47,3,30,0,130,3000,156
48,3,30,62,130,1860,68
49,3,30,57,110,4710,115
50,3,30,61,110,1830,106
51,3,30,56,110,1680,115
52,3,30,35,110,1050,131
1,4,30,60,120,4800,115
2,4,30,20,110,3600,150
3,4,30,4,130,3120,146
4,4,30,46,130,1380,88
5,4,30,42,110,4260,114
6,4,30,38,110,1140,114
7,4,30,35,110,1050,113
8,4,30,38,110,1140,107
9,4,30,0,110,0,148
