,Creado,Nombre,Cant.,Precio unitario,Sede
0,2022-04-08 00:00:00, BILLETERA RIVIERA CON DIVISION Y COSTURA 378,0,$ 35.000,1
1,2022-04-08 00:00:00, SANDALIA TACHES DE TACON ZELLEX 484,0,$ 120.000,1
2,2022-04-08 00:00:00, SUECO DE CORREA GRABADO 349,0,$ 120.000,1
3,2022-04-08 00:00:00, TARJETERO RIVIERA APLIQUE ABEJA 321,0,$ 30.000,1
4,2023-08-29 00:00:00,ARETES DCUERO 295,11,$ 18.000,1
5,2023-07-31 00:00:00,BALETA NEGRA MOÑO HORIZONTAL ,0,$ 85.000,1
6,2022-04-09 00:00:00,BALETA PERFORADA CON PULSERA 026,0,$ 135.000,1
7,2023-07-31 00:00:00,BALETA ROJA MOÑO VERTICAL,0,$ 85.000,1
8,2022-04-08 00:00:00,BALETA TROQUELADA PROMO 292,0,$ 100.000,1
9,2022-04-08 00:00:00,BIILLETERA GRABADA DCUERO 509,1,$ 75.000,1
10,2022-04-08 00:00:00,BILLETERA  CON  CIERRE DE HOMBRE 457,3,$ 45.000,1
11,2022-04-08 00:00:00,BILLETERA CERON LIBELULA DOBLE CIERRA 461,3,$ 70.000,1
12,2022-04-09 00:00:00,BILLETERA CON CIERRE Y BROCHE ZAMEX 030,2,$ 75.000,1
13,2022-04-08 00:00:00,BILLETERA CON MARIPOSAS DPIEL 161,2,$ 65.000,1
14,2022-04-08 00:00:00,BILLETERA CORTA RIVIERA PUNTERA METAL 315,0,$ 65.000,1
15,2023-02-15 00:00:00,BILLETERA DAMA CIERRE GRANDE CERON 173,1,$ 80.000,1
16,2022-11-21 00:00:00,BILLETERA DAMA DPIEL TRES CUERPOS 439,1,$ 85.000,1
17,2022-04-08 00:00:00,BILLETERA DCUERO 210,5,$ 55.000,1
18,2023-04-25 00:00:00,BILLETERA DE BROCHE PEQUEÑA 063,0,$ 50.000,1
19,2022-04-08 00:00:00,BILLETERA DE HOMBRE  ZAMEX 065,1,$ 45.000,1
20,2022-04-08 00:00:00,BILLETERA DE HOMBRE 044,1,$ 35.000,1
21,2022-06-16 00:00:00,BILLETERA DE HOMBRE 385,2,$ 25.000,1
22,2022-04-08 00:00:00,BILLETERA DE HOMBRE BROCHE 291,4,$ 20.000,1
23,2022-04-08 00:00:00,BILLETERA DE HOMBRE CERON 455,12,$ 40.000,1
24,2022-04-08 00:00:00,BILLETERA DE HOMBRE PROMO CUERO BRILLANTE 310,17,$ 20.000,1
25,2023-07-20 00:00:00,BILLETERA DE TAPA Y PASADOR ZAMEX 224,1,$ 65.000,1
26,2022-04-29 00:00:00,BILLETERA DE TAPA ZAMEX 222,4,$ 65.000,1
27,2022-04-08 00:00:00,BILLETERA DOBLE CIERRE DPIEL 156,1,$ 82.000,1
28,2022-04-08 00:00:00,BILLETERA DOBLE CIERRE GRABADA,0,$ 65.000,1
29,2024-04-26 00:00:00,BILLETERA DOBLE CIERRE ZAMEX 144,3,$ 80.000,1
30,2022-11-21 00:00:00,BILLETERA DPIEL DAMA 433,1,$ 75.000,1
31,2022-05-06 00:00:00,BILLETERA DPIEL DE TAPA,0,$ 75.000,1
32,2022-04-08 00:00:00,BILLETERA DPIEL PARA CABALLERO 405,0,$ 48.000,1
33,2022-04-08 00:00:00,BILLETERA EN TALA CERON 207,2,$ 55.000,1
34,2023-09-27 00:00:00,BILLETERA EN TULA GABINO 374,2,$ 28.000,1
35,2022-12-17 00:00:00,BILLETERA GRABADA DCUERO 493,7,$ 50.000,1
36,2022-06-29 00:00:00,BILLETERA GRANDE CERON 399,0,$ 50.000,1
37,2025-04-12 00:00:00,BILLETERA LA RIVIERA MINI CON HERRAJE 422,1,$ 45.000,1
38,2022-05-16 00:00:00,BILLETERA MINI SENCILLA,0,$ 35.000,1
39,2022-11-09 00:00:00,BILLETERA MONTANA 072,1,$ 35.000,1
40,2022-04-08 00:00:00,BILLETERA MONTANA CON PORTADOCUMENTO 235,1,$ 35.000,1
41,2022-04-08 00:00:00,BILLETERA MONTANA CON PORTADOCUMENTO 499 ,0,$ 35.000,1
42,2022-06-10 00:00:00,BILLETERA PASADOR TRIANGULAR ZAMEX 356,3,$ 65.000,1
43,2022-04-08 00:00:00,BILLETERA PEQUEÑA DPIEL  CIERRE Y BROCHE 158,0,$ 70.000,1
44,2022-04-08 00:00:00,BILLETERA PEQUEÑA GRABADA CERON 214,3,$ 50.000,1
45,2022-11-24 00:00:00,BILLETERA PEQUEÑA ZAMEX 449,1,$ 55.000,1
46,2023-04-25 00:00:00,BILLETERA PLANA CIERRE Y BROCHE 053,0,$ 55.000,1
47,2022-05-23 00:00:00,BILLETERA RIVERA CIERRE INTERNO Y EXTERNO 536,1,$ 30.000,1
48,2022-06-06 00:00:00,BILLETERA RIVERA DAMA CUPCAKES 317,0,$ 45.000,1
49,2022-11-25 00:00:00,BILLETERA RIVIERA TARJETERO EXTRAIBLE453,1,$ 32.000,1
50,2022-04-08 00:00:00,BILLETERA VERTICAL DPIEL,0,$ 50.000,1
51,2022-05-26 00:00:00,BILLETERA VERTICAL MONTANA 318,3,$ 28.000,1
52,2023-06-13 00:00:00,BILLETERAS DE BROCHE PEQUEÑAS DPIEL 284,0,$ 65.000,1
53,2022-04-08 00:00:00,BILLETERAS DE DAMA LARGAS LISAS PURO CUERO 384,1,$ 60.000,1
54,2022-05-25 00:00:00,BILLETERAS DE MARCA 320,2,$ 20.000,1
55,2023-07-08 00:00:00,BILLETERAS MINI SENCILLAS CON BROCHE,0,$ 35.000,1
56,2022-04-08 00:00:00,BOCA DE PESCADO DELIA BEIGE Y BLANCO 486,4,$ 130.000,1
57,2022-04-08 00:00:00,BOINA 343,0,$ 70.000,1
58,2022-04-08 00:00:00,BOLICHERO  184,5,$ 130.000,1
59,2022-05-24 00:00:00,BOLSA CUERO GRABADO PEQUEÑA 242,0,$ 120.000,1
60,2023-05-08 00:00:00,BOLSA DPIEL 189,0,$ 170.000,1
61,2022-05-24 00:00:00,BOLSA GRANDE CUERO GRABADO 233,2,$ 130.000,1
62,2025-03-22 00:00:00,BOLSO CADENA DCUERO 223,4,$ 80.000,1
63,2022-04-08 00:00:00,BOLSO CIERRES LATERALES 303,0,$ 170.000,1
64,2022-04-08 00:00:00,BOLSO DE MANO CON MOÑO ZAMEX,0,$ 40.000,1
65,2022-04-08 00:00:00,BOLSO DPIEL  GRABADO FRONTAL 491,0,$ 180.000,1
66,2022-04-08 00:00:00,BOLSO DPIEL CARGADERAS FIJAS EXTERNAS 074,1,$ 170.000,1
67,2022-04-08 00:00:00,BOLSO GRANDE ZAMEX 254,1,$ 180.000,1
68,2022-11-24 00:00:00,BOLSO LA RIVIERA TAPA CON REMACHES 447,1,$ 105.000,1
