,product_name,stock,price,shopping_mall_id,inventory_id,category
0, BILLETERA RIVIERA CON DIVISION Y COSTURA 378,0, 35000,1,P00001,Billetera/Monedera
1, SANDALIA TACHES DE TACON ZELLEX 484,0, 120000,1,P00002,Zapatos
2, SUECO DE CORREA GRABADO 349,0, 120000,1,P00003,Correas
3, TARJETERO RIVIERA APLIQUE ABEJA 321,0, 30000,1,P00004,Billetera/Monedera
4,ARETES DCUERO 295,11, 18000,1,P00005,Accesorios
5,BALETA NEGRA MOÑO HORIZONTAL ,0, 85000,1,P00006,Accesorios
6,BALETA PERFORADA CON PULSERA 026,0, 135000,1,P00007,Accesorios
7,BALETA ROJA MOÑO VERTICAL,0, 85000,1,P00008,Accesorios
8,BALETA TROQUELADA PROMO 292,0, 100000,1,P00009,Accesorios
9,BIILLETERA GRABADA DCUERO 509,1, 75000,1,P00010,Accesorios
10,BILLETERA  CON  CIERRE DE HOMBRE 457,3, 45000,1,P00011,Billetera/Monedera
11,BILLETERA CERON LIBELULA DOBLE CIERRA 461,3, 70000,1,P00012,Billetera/Monedera
12,BILLETERA CON CIERRE Y BROCHE ZAMEX 030,2, 75000,1,P00013,Billetera/Monedera
13,BILLETERA CON MARIPOSAS DPIEL 161,2, 65000,1,P00014,Billetera/Monedera
14,BILLETERA CORTA RIVIERA PUNTERA METAL 315,0, 65000,1,P00015,Billetera/Monedera
15,BILLETERA DAMA CIERRE GRANDE CERON 173,1, 80000,1,P00016,Billetera/Monedera
16,BILLETERA DAMA DPIEL TRES CUERPOS 439,1, 85000,1,P00017,Billetera/Monedera
17,BILLETERA DCUERO 210,5, 55000,1,P00018,Billetera/Monedera
18,BILLETERA DE BROCHE PEQUEÑA 063,0, 50000,1,P00019,Billetera/Monedera
19,BILLETERA DE HOMBRE  ZAMEX 065,1, 45000,1,P00020,Billetera/Monedera
20,BILLETERA DE HOMBRE 044,1, 35000,1,P00021,Billetera/Monedera
21,BILLETERA DE HOMBRE 385,2, 25000,1,P00022,Billetera/Monedera
22,BILLETERA DE HOMBRE BROCHE 291,4, 20000,1,P00023,Billetera/Monedera
23,BILLETERA DE HOMBRE CERON 455,12, 40000,1,P00024,Billetera/Monedera
24,BILLETERA DE HOMBRE PROMO CUERO BRILLANTE 310,17, 20000,1,P00025,Billetera/Monedera
25,BILLETERA DE TAPA Y PASADOR ZAMEX 224,1, 65000,1,P00026,Billetera/Monedera
26,BILLETERA DE TAPA ZAMEX 222,4, 65000,1,P00027,Billetera/Monedera
27,BILLETERA DOBLE CIERRE DPIEL 156,1, 82000,1,P00028,Billetera/Monedera
28,BILLETERA DOBLE CIERRE GRABADA,0, 65000,1,P00029,Billetera/Monedera
29,BILLETERA DOBLE CIERRE ZAMEX 144,3, 80000,1,P00030,Billetera/Monedera
30,BILLETERA DPIEL DAMA 433,1, 75000,1,P00031,Billetera/Monedera
31,BILLETERA DPIEL DE TAPA,0, 75000,1,P00032,Billetera/Monedera
32,BILLETERA DPIEL PARA CABALLERO 405,0, 48000,1,P00033,Billetera/Monedera
33,BILLETERA EN TALA CERON 207,2, 55000,1,P00034,Billetera/Monedera
34,BILLETERA EN TULA GABINO 374,2, 28000,1,P00035,Billetera/Monedera
35,BILLETERA GRABADA DCUERO 493,7, 50000,1,P00036,Billetera/Monedera
36,BILLETERA GRANDE CERON 399,0, 50000,1,P00037,Billetera/Monedera
37,BILLETERA LA RIVIERA MINI CON HERRAJE 422,1, 45000,1,P00038,Billetera/Monedera
38,BILLETERA MINI SENCILLA,0, 35000,1,P00039,Billetera/Monedera
39,BILLETERA MONTANA 072,1, 35000,1,P00040,Billetera/Monedera
40,BILLETERA MONTANA CON PORTADOCUMENTO 235,1, 35000,1,P00041,Billetera/Monedera
41,BILLETERA MONTANA CON PORTADOCUMENTO 499 ,0, 35000,1,P00042,Billetera/Monedera
42,BILLETERA PASADOR TRIANGULAR ZAMEX 356,3, 65000,1,P00043,Billetera/Monedera
43,BILLETERA PEQUEÑA DPIEL  CIERRE Y BROCHE 158,0, 70000,1,P00044,Billetera/Monedera
44,BILLETERA PEQUEÑA GRABADA CERON 214,3, 50000,1,P00045,Billetera/Monedera
45,BILLETERA PEQUEÑA ZAMEX 449,1, 55000,1,P00046,Billetera/Monedera
46,BILLETERA PLANA CIERRE Y BROCHE 053,0, 55000,1,P00047,Billetera/Monedera
47,BILLETERA RIVERA CIERRE INTERNO Y EXTERNO 536,1, 30000,1,P00048,Billetera/Monedera
48,BILLETERA RIVERA DAMA CUPCAKES 317,0, 45000,1,P00049,Billetera/Monedera
49,BILLETERA RIVIERA TARJETERO EXTRAIBLE453,1, 32000,1,P00050,Billetera/Monedera
50,BILLETERA VERTICAL DPIEL,0, 50000,1,P00051,Billetera/Monedera
51,BILLETERA VERTICAL MONTANA 318,3, 28000,1,P00052,Billetera/Monedera
52,BILLETERAS DE BROCHE PEQUEÑAS DPIEL 284,0, 65000,1,P00053,Billetera/Monedera
53,BILLETERAS DE DAMA LARGAS LISAS PURO CUERO 384,1, 60000,1,P00054,Billetera/Monedera
54,BILLETERAS DE MARCA 320,2, 20000,1,P00055,Billetera/Monedera
55,BILLETERAS MINI SENCILLAS CON BROCHE,0, 35000,1,P00056,Billetera/Monedera
56,BOCA DE PESCADO DELIA BEIGE Y BLANCO 486,4, 130000,1,P00057,Accesorios
57,BOINA 343,0, 70000,1,P00058,Gorra/Boina
58,BOLICHERO  184,5, 130000,1,P00059,Zapatos
59,BOLSA CUERO GRABADO PEQUEÑA 242,0, 120000,1,P00060,Bolsos
60,BOLSA DPIEL 189,0, 170000,1,P00061,Bolsos
61,BOLSA GRANDE CUERO GRABADO 233,2, 130000,1,P00062,Bolsos
62,BOLSO CADENA DCUERO 223,4, 80000,1,P00063,Bolsos
63,BOLSO CIERRES LATERALES 303,0, 170000,1,P00064,Bolsos
64,BOLSO DE MANO CON MOÑO ZAMEX,0, 40000,1,P00065,Bolsos
65,BOLSO DPIEL  GRABADO FRONTAL 491,0, 180000,1,P00066,Bolsos
66,BOLSO DPIEL CARGADERAS FIJAS EXTERNAS 074,1, 170000,1,P00067,Bolsos
67,BOLSO GRANDE ZAMEX 254,1, 180000,1,P00068,Bolsos
68,BOLSO LA RIVIERA TAPA CON REMACHES 447,1, 105000,1,P00069,Bolsos
69,BOLSO MANOS LIBRES HORIZONTAL DPIEL,0, 120000,1,P00070,Bolsos
70,BOLSO PEQUEÑO DOBLE CIERRE ZAMEX 282,0, 85000,1,P00071,Bolsos
71,BOLSO PEQUEÑO DPIEL CON CARGADERA GUAYU 474,1, 150000,1,P00072,Bolsos
72,BOLSO PEQUEÑO TIPO CARTERA Y MANOS LIBRES 301,1, 150000,1,P00073,Bolsos
73,BOLSO PEQUEÑO ZAMEX CON CARGADERA GUAYU 364,0, 135000,1,P00074,Bolsos
74,BOLSO PLAYERA GRABADA PEQUEÑA CERON 164,1, 120000,1,P00075,Bolsos
75,BOLSO TIPO BAUL RECTANGULAR DPIEL,0, 140000,1,P00076,Bolsos
76,BOLSO TIPO CARTERA DPIEL479,1, 140000,1,P00077,Bolsos
77,BOLSO TIPO TULA GRABADO 58,0, 130000,1,P00078,Bolsos
78,BOLSOS GRABADOS 163,1, 150000,1,P00079,Bolsos
79,BOTA  TIPO BRAHAMA DAMA 011,1, 90000,1,P00080,Zapatos
80,BOTA  TIPO TEXANA CON RESORTE  ROJA 061,0, 90000,1,P00081,Zapatos
81,BOTA AMARILLA MONTAÑA UNISEX PROMO 106,1, 90000,1,P00082,Zapatos
82,BOTA BRONCO PROMO,0, 80000,1,P00083,Zapatos
83,BOTA CAFE BRONCOS 037,7, 150000,1,P00084,Zapatos
84,BOTA CAFÉ Y NEGRA CUERO GRASO MACHOS 040,2, 120000,1,P00085,Zapatos
85,"BOTA CAÑA ALTA CARNAZA COLOR ARENA,  NEGRO Y GRIS 275",6, 150000,1,P00086,Zapatos
86,BOTA CAÑA ALTA DAMA 470,2, 250000,1,P00087,Zapatos
87,BOTA CARNAZA GRIS NEGRA E IMBLUE CAMUFLADA,3, 100000,1,P00088,Zapatos
88,BOTA CON PUNTERA ORO BRONCO 247,2, 120000,1,P00089,Zapatos
89,BOTA DATHANOS DE CORDON NEGRA Y MIEL485,3, 165000,1,P00090,Zapatos
90,BOTA DE DAMA COLOR ARENA 345,1, 150000,1,P00091,Zapatos
91,BOTA DE DAMA NEGRA CON TACHES 500,4, 160000,1,P00092,Zapatos
92,BOTA DE LICOR  GRANDE 086,0, 30000,1,P00093,Zapatos
93,BOTA DE LICOR PEQUEÑA 202,0, 25000,1,P00094,Zapatos
94,BOTA DE MONTAÑA DE PROMOCION BRONCOS  273,56, 110000,1,P00095,Zapatos
95,BOTA DE SEGURIDA CHEYENNE  IMBLUE 335,1, 150000,1,P00096,Zapatos
96,BOTA DE SEGURIDAD CHEYENNE CAFÉ 334,3, 120000,1,P00097,Zapatos
97,BOTA DOTACION BRONCO CABALLERO,4, 100000,1,P00098,Zapatos
98,BOTA DOTACION BRONCO CABALLERO PROMO,0, 100000,1,P00099,Zapatos
99,BOTA DOTACION BRONCO DAMA PROMO,0, 90000,1,P00100,Zapatos
100,BOTA ESTILO BRAHAMA COLOR  BEIGE 064,0, 90000,1,P00101,Zapatos
101,"BOTA MACHOS COLOR ARENA X VERDE, CAFE Y NEGRA",0, 140000,1,P00102,Zapatos
102,BOTA MACHOS CUERO ENCERADO NEGRA Y  CAFE 090,2, 140000,1,P00103,Zapatos
103,BOTA MACHOS GRIS Y NEGRA 127,4, 170000,1,P00104,Zapatos
104,BOTA MACHOS VERDE Y CAFÉ 118,5, 170000,1,P00105,Zapatos
105,BOTA MIEL X NEGRO MACHOS 475,4, 150000,1,P00106,Zapatos
106,BOTA NEGRA COSTURAS MACHOS 221,3, 150000,1,P00107,Zapatos
107,BOTA NEGRA JORWILL369,1, 130000,1,P00108,Zapatos
108,BOTA NEGRA MACHOS 348 ,3, 150000,1,P00109,Zapatos
109,BOTA NEGRA MONTAÑA UNISEX 041,0, 120000,1,P00110,Zapatos
110,BOTA NEGRA X GRIS Y FUCSIA 181,3, 150000,1,P00111,Zapatos
111,BOTA NEGRA Y AMARILLA MONTAÑA UNISEX 564,0, 120000,1,P00112,Zapatos
112,BOTA NOBUCK  MIEL 304,0, 140000,1,P00113,Zapatos
113,BOTA PLANA ZELLEX  299,0, 160000,1,P00114,Zapatos
114,BOTA RESORTE SUELA ANCHA 283,2, 160000,1,P00115,Zapatos
115,BOTA SEA NEGRA CARNAZA Y MIEL 325,0, 130000,1,P00116,Zapatos
116,BOTA SUELA ANCHA DOBLE CIERRE 501,0, 160000,1,P00117,Zapatos
117,BOTA TIPO BRAHAMA BRONCO AMARILLA 530,0, 120000,1,P00118,Zapatos
118,BOTA VERDE NOBUCK Y NEGRA LISO MACHOS 443,8, 150000,1,P00119,Zapatos
119,BOTAS BRONCO CABALLERO 280,5, 130000,1,P00120,Zapatos
120,BOTAS DE DOTACION MACHOS COLOR ARENA Y NEGRO 113,0, 180000,1,P00121,Zapatos
121,BOTAS DE SEGURIDAD  PROMO BRONCO 227,3, 130000,1,P00122,Zapatos
122,BOTAS DE SEGURIDAD DE LINEA BRONCO,9, 180000,1,P00123,Zapatos
123,BOTIN  CONI NEGRO,2, 135000,1,P00124,Zapatos
124,BOTIN  DATHANO 191,0, 145000,1,P00125,Zapatos
125,BOTIN  YULIA ZELLEX 050,0, 150000,1,P00126,Zapatos
126,BOTIN ABIGAIL ZELLEX 462,2, 160000,1,P00127,Zapatos
127,BOTIN ADRIANA NEGRIO ZELLEX,0, 135000,1,P00128,Zapatos
128,BOTIN ANGIE NEGRO Y  MIEL  507,9, 170000,1,P00129,Zapatos
129,"BOTIN AZUL,NEGRO Y CAFE JORWILL  023",8, 140000,1,P00130,Zapatos
130,"BOTIN AZUL,NEGRO Y CAFE JORWILL 571",17, 140000,1,P00131,Zapatos
131,BOTIN BLANCO PUNTA CUADRADA ZELLEX 135,0, 160000,1,P00132,Zapatos
132,BOTIN BOCA DE PESCADO ZELLEX 0217,0, 160000,1,P00133,Zapatos
133,BOTIN BOTEROS CAFÉ ENCERADO,0, 120000,1,P00134,Zapatos
134,BOTIN BOTEROS COLOR MIEL 226,0, 140000,1,P00135,Zapatos
135,BOTIN CAFÉ DATHANO 312,3, 140000,1,P00136,Zapatos
136,BOTIN CLASICO JORWILL NEGRO Y CAFÉ 047,2, 130000,1,P00137,Zapatos
137,BOTIN CLOE PROMO 004,1, 90000,1,P00138,Zapatos
138,BOTIN COLOR  CRUDO TACON FORRADO ZELLEX,0, 150000,1,P00139,Zapatos
139,BOTIN CORDON Y CIERRE 126,1, 170000,1,P00140,Zapatos
140,BOTIN DATHANOS NEGRO Y AZUL 196,2, 150000,1,P00141,Zapatos
141,BOTIN DOBLE V NEGRO MACHOS 111,0, 130000,1,P00142,Zapatos
142,BOTIN DON NICOLAS 413,1, 145000,1,P00143,Zapatos
143,BOTIN JHOANA DE ZELLEX 366,1, 130000,1,P00144,Zapatos
144,"BOTIN JORWILL CAFÉ , NEGRO Y MIEL 361",5, 130000,1,P00145,Zapatos
145,BOTIN JORWILL NEGRO Y CAFÉ CON CIERRE 261,3, 145000,1,P00146,Zapatos
146,"BOTIN MACHOS CAFÉ , MIEL Y NEGRO PROMO 138",0, 90000,1,P00147,Zapatos
147,BOTIN MICAELA NEGRO 412,0, 150000,1,P00148,Zapatos
148,BOTIN MOÑO LATERAL 232,9, 170000,1,P00149,Zapatos
149,BOTIN NEGRO CORREA FRONTAL MACHOS 109,2, 130000,1,P00150,Zapatos
150,BOTIN NEGRO DE DAMA 503,4, 160000,1,P00151,Zapatos
151,BOTIN NEGRO Y CAFE DE CORREA502 ,8, 160000,1,P00152,Zapatos
152,BOTIN NEGRO Y MIEL CON TACHES ATRÁS 114,2, 145000,1,P00153,Zapatos
153,BOTIN NEGRO ZELLEX,2, 150000,1,P00154,Zapatos
154,BOTIN NISA NEGRO ZELLEX 245,2, 150000,1,P00155,Zapatos
155,"BOTIN RESORTE MIEL, CARNAZA Y NEGRO 330",7, 120000,1,P00156,Zapatos
156,"BOTIN TEXANO NEGRA, CAFÉ Y VINOTINTO 020",0, 130000,1,P00157,Zapatos
157,BOTIN ZULAY PROMO 504,2, 90000,1,P00158,Zapatos
158,BOTINES PROMO ZELLEX 251,0, 100000,1,P00159,Zapatos
159,CALZADORES DE PASTA 467,3, 6000,1,P00160,Zapatos
160,CARTERA DPIEL 289,0, 110000,1,P00161,Bolsos
161,CHANCLA 3 OROS,1, 50000,1,P00162,Accesorios
162,CHANCLA BORABORA AZUL,0, 90000,1,P00163,Accesorios
163,CHANCLA COLOR MARFIL TACON 3 1/2 424,0, 130000,1,P00164,Accesorios
164,CHANCLA DE TIRAS BLANCA 458,2, 95000,1,P00165,Accesorios
165,CHANCLA FRANCISCANA NIÑO 350,0, 60000,1,P00166,Accesorios
166,CHANCLA PLAYERA COLOR MIEL  418,3, 110000,1,P00167,Accesorios
167,CHANCLA SEMIORTOPEDICA BEIGE X ANIMAL PRINT473,2, 120000,1,P00168,Accesorios
168,CHANCLA TACON PLAYERO CRUZADA BLANCA PROMO 409,0, 65000,1,P00169,Accesorios
169,CHANCLA TRES PUNTADAS DCUERO PROMO 441,0, 50000,1,P00170,Accesorios
170,CHANCLA TRES PUNTADAS NEGRA 460,5, 95000,1,P00171,Accesorios
171,CHAQUETA DE HOMBRE 152,0, 450000,1,P00172,Chaqueta
172,CHAQUETA PARA HOMBRE 544,0, 400000,1,P00173,Chaqueta
173,CHAQUETAS PARA DAMA  538,0, 400000,1,P00174,Chaqueta
174,CHAQUETAS PARA DAMA 185,0, 450000,1,P00175,Chaqueta
175,CINTURON HERGONOMICO 206,3, 30000,1,P00176,Correas
176,COLEGIAL NIÑA  052,3, 60000,1,P00177,Accesorios
177,COLEGIALES DE NIÑO NEGRO 252,7, 60000,1,P00178,Accesorios
178,COMBO BILLETERA Y CORREA DCUERO,0, 90000,1,P00179,Correas
179,COMBO MONEDERA Y BILLETERA DE DAMA 016,3, 72000,1,P00180,Billetera/Monedera
180,CORREA  ANCHA HEBILLA GRANDE 148,4, 35000,1,P00181,Correas
181,CORREA  CABALLERO ANCHA,0, 40000,1,P00182,Correas
182,CORREA  ERGONOMICA,0, 40000,1,P00183,Correas
183,CORREA  ERGONOMICA SEMIDELGADA 120,7, 25000,1,P00184,Correas
184,CORREA  GAMA ALTA 380,3, 50000,1,P00185,Correas
185,CORREA 2CM 014,3, 24000,1,P00186,Correas
186,CORREA 3.0 048,18, 28000,1,P00187,Correas
187,CORREA ANCHA  DE DAMA BERONI,0, 32000,1,P00188,Correas
188,CORREA ANCHA DE PASADOR METALICO 298,1, 35000,1,P00189,Correas
189,CORREA ANCHA TROQUELADA,0, 35000,1,P00190,Correas
190,CORREA COLEGIAL 497,7, 20000,1,P00191,Correas
191,CORREA DE CABALLERO  COLORES 070,14, 35000,1,P00192,Correas
192,CORREA DE CABALLERO  COLORES 554,0, 35000,1,P00193,Correas
193,CORREA DE MARCA CON PIEDRAS DELGADA 306,2, 35000,1,P00194,Correas
194,CORREA DELGADA PARA CABALLERO 128,3, 25000,1,P00195,Correas
195,CORREA DELGADA PASADOR METALICO 508,2, 30000,1,P00196,Correas
196,CORREA DOBLE FAZ 3.0 496,2, 40000,1,P00197,Correas
197,CORREA DOBLE FAZ CABALLERO,1, 75000,1,P00198,Correas
198,CORREA DOBLE FAZ DELGADA DE DAMA,3, 75000,1,P00199,Correas
199,CORREA DPIEL PARA CABALLERO,0, 45000,1,P00200,Correas
200,CORREA ERGONOMICA DELGADA 025,8, 20000,1,P00201,Correas
201,CORREA GUCCI CON PIERDAS ANCHA 297,3, 40000,1,P00202,Correas
202,CORREA PITILLO BERONI 498,4, 20000,1,P00203,Correas
203,CORREA PITILLO CON TACHES 322,0, 28000,1,P00204,Correas
204,CORREA PITILLO GRABADA 495,1, 15000,1,P00205,Correas
205,CORREA PITILLO TROQUELADA 132,2, 27000,1,P00206,Correas
206,CORREA PUNTOS GRABADOS 211,6, 40000,1,P00207,Correas
207,CORREA RETASOS,0, 30000,1,P00208,Correas
208,CORREA SEMIDELGA  Y DELGADA DOBLE FAZ  PARA DAMA PROMO 547,1, 35000,1,P00209,Correas
209,CORREA SEMIDELGA  Y DELGADA DOBLE FAZ PARA DAMA PROMO112,6, 35000,1,P00210,Correas
210,CORREA SEMIDELGADA TROQUELADA 060,3, 35000,1,P00211,Correas
211,CORREA SEMIDELGADA TROQUELADA 558,0, 35000,1,P00212,Correas
212,CORREA TROQUELADA 331,10, 30000,1,P00213,Correas
213,CORREA TROQUELADA ANCHA 142,3, 42000,1,P00214,Correas
214,CORREAS ANCHAS 091,2, 40000,1,P00215,Correas
