,Fecha,Descripción,M. de pago,Valor,Sede
0,2025-01-13 00:00:00,1 MOCASIN DE HEBILLA DATHANOS 342,Transferencia Bancaria,145000,1
1,2025-01-13 00:00:00,1 CHANCLA TRES PUNTADAS NEGRA 460,Transferencia Bancaria,95000,1
2,2025-01-13 00:00:00,1 MONEDERAS PEQUEÑAS 421,Transferencia Bancaria,5000,1
3,2025-01-13 00:00:00,1 CORREA 3.0 048,Efectivo,28000,1
4,2025-01-13 00:00:00,1 BILLETERA DPIEL DAMA 433,Efectivo,70000,1
5,2025-01-13 00:00:00,1 MANOS LIBRES DPIEL PEQUEÑO PARA HOMBRE 216,Efectivo,140000,1
6,2025-01-13 00:00:00,1 BILLETERA DE HOMBRE PROMO CUERO BRILLANTE 310,Efectivo,20000,1
7,2025-01-13 00:00:00,1 BOTIN DOBLE V NEGRO MACHOS 111,Efectivo,104000,1
8,2025-01-13 00:00:00,1 ZAPATO TIPO BALETA AZUL Y BEIGE,Efectivo,96000,1
9,2025-01-14 00:00:00,1 CORREAS DE HOMBRE ANCHAS 430,Efectivo,30000,1
10,2025-01-14 00:00:00,"1 TENI JORWILL NEGRO, AZUL Y MIEL",Efectivo,130000,1
11,2025-01-14 00:00:00,1 BALETA PERFORADA CON PULSERA 026,Efectivo,135000,1
12,2025-01-14 00:00:00,1 CORREAS DE HOMBRE ANCHAS 430,Efectivo,30000,1
13,2025-01-14 00:00:00,1 MANOS LIBRES CON TAPA CERON,Efectivo,120000,1
14,2025-01-14 00:00:00,1 BOTA DATHANOS DE CORDON NEGRA Y MIEL485,Transferencia Bancaria,165000,1
15,2025-01-15 00:00:00,1 SUECO ENMALLADO ROJO Y NEGRO 042,Efectivo,160000,1
16,2025-01-15 00:00:00,1 CORREAS DCUERO 043,Efectivo,55000,1
17,2025-01-15 00:00:00,2 MANOS LIBRES RECTANGULAR GRABADO 095,Transferencia Bancaria,110000,1
18,2025-01-15 00:00:00,3 BILLETERA DAMA DPIEL TRES CUERPOS 439,Transferencia Bancaria,240000,1
19,2025-01-15 00:00:00,1 MONEDERAS DE DAMA  420,Transferencia Bancaria,12000,1
20,2025-01-15 00:00:00,2 MONEDERA 398,Transferencia Bancaria,30000,1
21,2025-01-15 00:00:00,1 ZAPATO VERDE IMBLUE 346,Efectivo,10000,1
22,2025-01-15 00:00:00,1 MOCASIN PLATAFORMA 032,Transferencia Bancaria,120000,1
23,2025-01-15 00:00:00,1 CHANCLA PLAYERA COLOR MIEL  418,Efectivo,88000,1
24,2025-01-15 00:00:00,1 CORREAS PITILLO 431,Efectivo,22000,1
25,2025-01-15 00:00:00,1 CHAQUETAS PARA DAMA 185,Efectivo,1,1
26,2025-01-15 00:00:00,1 BOTA ESTILO BRAHAMA COLOR  BEIGE 064,Efectivo,90000,1
27,2025-01-15 00:00:00,1 CORREA DE CABALLERO  COLORES,Efectivo,10000,1
28,2025-01-15 00:00:00,1 MARICONERAS 015,Efectivo,10000,1
29,2025-01-16 00:00:00,1 BILLETERA CON CIERRE Y BROCHE ZAMEX 030,Efectivo,75000,1
30,2025-01-16 00:00:00,1 BOLICHERO  184,Efectivo,130000,1
31,2025-01-16 00:00:00,1 CORREA DE CABALLERO  COLORES,Efectivo,35000,1
32,2025-01-16 00:00:00,1 SHAMPOO PARA CUERO 408,Efectivo,6000,1
33,2025-01-16 00:00:00,1 MOCASIN PLATAFORMA 032,Transferencia Bancaria,120000,1
34,2025-01-16 00:00:00,1 CORREA 2CM,Transferencia Bancaria,24000,1
35,2025-01-17 00:00:00,1 TENI PLATEADO X NEGRO PROMO 274,Efectivo,90000,1
36,2025-01-17 00:00:00,1 MONEDERAS PEQUEÑAS 421,Efectivo,5000,1
37,2025-01-17 00:00:00,1 GRASA DE POTRO 394,Efectivo,9000,1
38,2025-01-17 00:00:00,1 MONEDERA GRABADA DPIEL 279,Efectivo,45000,1
39,2025-01-17 00:00:00,1 CORREA 3.0 048,Efectivo,28000,1
40,2025-01-17 00:00:00,1 CHANCLA TRES PUNTADAS DCUERO PROMO 441,Efectivo,50000,1
41,2025-01-17 00:00:00,1 CORREA TROQUELADA 331,Efectivo,30000,1
42,2025-01-17 00:00:00,1 ZAPATO TIPO BALETA AZUL Y BEIGE,Efectivo,120000,1
43,2025-01-17 00:00:00,1 ZAPATO NEGRO CORDON DAMA  PROMO017,Efectivo,95000,1
44,2025-01-17 00:00:00,"1 BOTIN RESORTE MIEL, CARNAZA Y NEGRO 330",Transferencia Bancaria,120000,1
45,2025-01-18 00:00:00,1 CORREA 3.0 048,Efectivo,28000,1
46,2025-01-18 00:00:00,1 SANDALIA PLANA TOMMY PROMO 100,Transferencia Bancaria,50000,1
47,2025-01-18 00:00:00,1 GORRAS CON FORRO 401,Transferencia Bancaria,65000,1
48,2025-01-18 00:00:00,1 BILLETERA MONTANA 072,Transferencia Bancaria,35000,1
49,2025-01-18 00:00:00,1 CORREA DOBLE FAZ CABALLERO,Efectivo,75000,1
50,2025-01-18 00:00:00,1 ZAPATOS 3 1/2 TACON DE  PUNTA 347,Transferencia Bancaria,150000,1
51,2025-01-18 00:00:00,1 MONEDERA  BIGOTES 122,Efectivo,12000,1
52,2025-01-18 00:00:00,1 CORREA TROQUELADA 331,Efectivo,30000,1
53,2025-01-20 00:00:00,1 CORREAS DAMA ANCHAS 429,Efectivo,30000,1
54,2025-01-20 00:00:00,1 MONEDERA 398,Efectivo,15000,1
55,2025-01-20 00:00:00,1 RIÑONERA SPORT COLORES SURTIDOS 338,Efectivo,45000,1
56,2025-01-20 00:00:00,1 BILLETERA DPIEL PARA CABALLERO 405,Efectivo,39000,1
57,2025-01-20 00:00:00,1 GRASA DE POTRO 394,Efectivo,9000,1
58,2025-01-20 00:00:00,1 SANDALIA SEMIORTOPEDICA MIEL X FOLIA 436,Efectivo,115000,1
59,2025-01-20 00:00:00,1 COLEGIAL NIÑA  052,Efectivo,60000,1
60,2025-01-20 00:00:00,1 MORRAL PEQUEÑO DPIEL 116,Efectivo,150000,1
61,2025-01-20 00:00:00,1 SANDALIA TURISTA DE DAMA CAFÉ Y NEGRA 382,Efectivo,80000,1
62,2025-01-21 00:00:00,2 PORTA DOCUMENTO SENCILLO 149,Efectivo,24000,1
